nm,A
455.00,-0.007
456.00,0.004
457.00,-0.006
458.00,-0.003
459.00,0.006
460.00,-0.006
461.00,0.005
462.00,-0.002
463.00,-0.010
464.00,-0.007
465.00,-0.006
466.00,0.004
467.00,0.004
468.00,0.006
469.00,-0.003
470.00,-0.001
471.00,-0.003
472.00,-0.005
473.00,-0.003
474.00,0.000
475.00,-0.003
476.00,-0.005
477.00,-0.005
478.00,-0.008
479.00,-0.007
480.00,-0.004
481.00,-0.012
482.00,-0.009
483.00,-0.002
484.00,-0.002
485.00,0.000
486.00,-0.004
487.00,-0.006
488.00,-0.011
489.00,-0.002
490.00,-0.005
491.00,-0.005
492.00,-0.006
493.00,-0.002
494.00,0.001
495.00,-0.009
496.00,-0.008
497.00,-0.004
498.00,0.004
499.00,0.000
500.00,0.001
501.00,-0.005
502.00,-0.001
503.00,-0.003
504.00,-0.006
505.00,-0.006
506.00,-0.001
507.00,-0.008
508.00,-0.004
509.00,-0.006
510.00,-0.003
511.00,-0.006
512.00,-0.003
513.00,0.001
514.00,-0.003
515.00,-0.001
516.00,-0.009
517.00,-0.004
518.00,-0.004
519.00,0.001
520.00,-0.007
521.00,-0.011
522.00,-0.006
523.00,-0.003
524.00,-0.009
525.00,-0.008
526.00,-0.004
527.00,-0.009
528.00,-0.006
529.00,-0.010
530.00,-0.014
531.00,-0.012
532.00,-0.007
533.00,-0.010
534.00,-0.015
535.00,-0.014
536.00,-0.009
537.00,-0.010
538.00,-0.010
539.00,-0.013
540.00,-0.009
541.00,-0.011
542.00,-0.010
543.00,-0.007
544.00,-0.008
545.00,-0.009
546.00,-0.008
547.00,-0.009
548.00,-0.005
549.00,-0.008
550.00,-0.004
551.00,-0.007
552.00,-0.007
553.00,-0.010
554.00,-0.008
555.00,-0.010
556.00,-0.004
557.00,-0.004
558.00,-0.009
559.00,-0.005
560.00,-0.003
561.00,-0.007
562.00,-0.004
563.00,-0.006
564.00,-0.002
565.00,-0.008
566.00,-0.004
567.00,-0.006
568.00,-0.006
569.00,-0.006
570.00,-0.005
571.00,-0.004
572.00,-0.001
573.00,-0.004
574.00,0.000
575.00,-0.002
576.00,-0.006
577.00,-0.001
578.00,0.000
579.00,0.004
580.00,0.004
581.00,0.003
582.00,0.001
583.00,0.004
584.00,0.005
585.00,0.007
586.00,0.005
587.00,0.005
588.00,0.005
589.00,0.006
590.00,0.006
591.00,0.007
592.00,0.010
593.00,0.011
594.00,0.012
595.00,0.012
596.00,0.012
597.00,0.008
598.00,0.013
599.00,0.014
600.00,0.011
601.00,0.010
602.00,0.015
603.00,0.016
604.00,0.010
605.00,0.010
606.00,0.014
607.00,0.015
608.00,0.015
609.00,0.020
610.00,0.014
611.00,0.015
612.00,0.016
613.00,0.019
614.00,0.021
615.00,0.019
616.00,0.020
617.00,0.024
618.00,0.023
619.00,0.019
620.00,0.021
621.00,0.022
622.00,0.023
623.00,0.025
624.00,0.024
625.00,0.024
626.00,0.027
627.00,0.021
628.00,0.022
629.00,0.026
630.00,0.025
631.00,0.025
632.00,0.023
633.00,0.026
634.00,0.029
635.00,0.030
636.00,0.029
637.00,0.029
638.00,0.026
639.00,0.031
640.00,0.029
641.00,0.035
642.00,0.032
643.00,0.031
644.00,0.032
645.00,0.033
646.00,0.033
647.00,0.034
648.00,0.034
649.00,0.034
650.00,0.033
651.00,0.037
652.00,0.036
653.00,0.034
654.00,0.036
655.00,0.036
656.00,0.036
657.00,0.034
658.00,0.033
659.00,0.036
660.00,0.035
661.00,0.036
662.00,0.034
663.00,0.034
664.00,0.032
665.00,0.035
666.00,0.034
667.00,0.033
668.00,0.032
669.00,0.035
670.00,0.028
671.00,0.029
672.00,0.027
673.00,0.026
674.00,0.024
675.00,0.026
676.00,0.025
677.00,0.020
678.00,0.020
679.00,0.020
680.00,0.018
681.00,0.019
682.00,0.015
683.00,0.018
684.00,0.013
685.00,0.015
686.00,0.011
687.00,0.014
688.00,0.011
689.00,0.011
690.00,0.009
691.00,0.010
692.00,0.008
693.00,0.004
694.00,0.007
695.00,0.007
696.00,0.005
697.00,0.002
698.00,0.005
699.00,0.005
700.00,0.002
701.00,0.003
702.00,0.007
703.00,0.000
704.00,0.004
705.00,0.002
706.00,0.004
707.00,0.002
708.00,0.005
709.00,0.002
710.00,0.004
711.00,0.004
712.00,0.004
713.00,0.005
714.00,0.003
715.00,0.005
716.00,0.005
717.00,0.003
718.00,0.003
719.00,0.002
720.00,0.004
721.00,0.002
722.00,0.004
723.00,0.005
724.00,0.005
725.00,0.004
726.00,0.005
727.00,0.005
728.00,0.004
729.00,0.006
730.00,0.005
731.00,0.005
732.00,0.007
733.00,0.006
734.00,0.006
735.00,0.006
736.00,0.006
737.00,0.006
738.00,0.004
739.00,0.005
740.00,0.008
741.00,0.007
742.00,0.008
743.00,0.007
744.00,0.007
745.00,0.008
746.00,0.008
747.00,0.006
748.00,0.006
749.00,0.008
750.00,0.006
751.00,0.008
752.00,0.006
753.00,0.008
754.00,0.008
755.00,0.006
756.00,0.008
757.00,0.006
758.00,0.009
759.00,0.009
760.00,0.007
761.00,0.009
762.00,0.010
763.00,0.008
764.00,0.009
765.00,0.010
766.00,0.010
767.00,0.009
768.00,0.006
769.00,0.007
770.00,0.007
771.00,0.006
772.00,0.007
773.00,0.007
774.00,0.008
775.00,0.009
776.00,0.009
777.00,0.008
778.00,0.009
779.00,0.007
780.00,0.007
781.00,0.009
782.00,0.009
783.00,0.009
784.00,0.011
785.00,0.009
786.00,0.010
787.00,0.011
788.00,0.010
789.00,0.008
790.00,0.010
791.00,0.011
792.00,0.012
793.00,0.011
794.00,0.008
795.00,0.009
796.00,0.008
797.00,0.009
798.00,0.011
799.00,0.010
800.00,0.010
